CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
22127,Faculdade de Ciências Jurídicas de Jequié,,Privada,N,N,N,Faculdade,null,null,null,Extinta
12005,FACULDADE DE TECNOLOGIA INED - UNIDADE VENDA NOVA,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
758,FACULDADE BRASILEIRA DE RECURSOS HUMANOS,FBRH,Privada,N,N,N,Faculdade,null,null,null,Extinta
26489,Escola de Magistratura do Estado do Rio de Janeiro,EMERJ,Pública,N,N,N,Escola de Governo,null,null,null,Ativa
15777,FACULDADE SUDOESTE PAULISTA-ITAPETININGA,FSP,Privada,N,N,N,Faculdade,null,null,null,Extinta
13993,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS,UNIPAM,Privada,N,N,N,Centro Universitário,null,null,null,Extinta
2504,FACULDADE DIVINÓPOLIS,FACED,Privada,N,N,N,Faculdade,null,null,null,Extinta
2630,INSTITUTO SUPERIOR DE EDUCAÇÃO DO VALE DO JURUENA,AJES,Privada,N,N,N,Faculdade,null,null,null,Extinta
5306,INSTITUTO SUPERIOR DE CIÊNCIAS AGRÁRIAS,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
3776,INSTITUTO DE ENSINO SUPERIOR DE MATO GROSSO,IESMT,Privada,N,N,N,Faculdade,null,null,null,Extinta
1052,FACULDADE ADVENTISTA DE ADMINISTRAÇÃO DO NORDESTE,FAAD,Privada,N,N,N,Faculdade,null,null,null,Extinta
722,ESCOLA DE EDUCAÇÃO FÍSICA DE ASSIS,EEFA,Privada,N,N,N,Faculdade,null,null,null,Extinta
3078,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - DUPLICIDADE COM CÓD 56,null,Pública,N,N,N,Universidade,null,null,null,Extinta
18407,FACULDADE FRONTEIRA,FECAF,Privada,N,N,N,Faculdade,null,null,null,Extinta
725,"FACULDADE ESTADUAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE PARANAGUÁ",FAFIPAR,Pública,N,N,N,Faculdade,null,null,null,Extinta
26840,ESCOLA DE GOVERNO DO MARANHÃO,EGMA,Pública,N,N,N,Escola de Governo,null,null,null,Ativa
5537,FACULDADES VALE DO CARANGOLA - FAVALE,FAVALE,Pública,N,N,N,Faculdade,null,null,null,Extinta
14189,Faculdade Presidente Antônio Carlos de Mariana,FUCIJUR Mariana,Privada,N,N,N,Faculdade,null,null,null,Extinta
2757,FACULDADE JK ADMINISTRAÇÃO DE VALPARAÍSO,FACULDADE JK,Privada,N,N,N,Faculdade,null,null,null,Extinta
930,FACULDADE DE EDUCAÇÃO DE ALTA FLORESTA,FEAFLOR,Privada,N,N,N,Faculdade,null,null,null,Extinta
22134,Faculdade de Ciências Jurídicas de Serra,,Privada,N,N,N,Faculdade,null,null,null,Extinta
5376,Faculdades Adamantinenses Integradas,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
1738,Faculdade São Lucas Porto Velho,FSL,Privada,N,N,N,Faculdade,null,null,null,Extinta
11206,Escola de Educação Física do Exército,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
1825,FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS,FEAD,Privada,N,N,N,Faculdade,null,null,null,Extinta
1925,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS SANTO AGOSTINHO,FACISA,Privada,N,N,N,Faculdade,null,null,null,Extinta
2008,INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO GOTARDO,CESG,Privada,N,N,N,Faculdade,null,null,null,Extinta
5193,Universidade Estadual do Oeste do Paraná,null,Pública,N,N,N,Universidade,null,null,null,Extinta
15791,Faculdade de Rondônia,FARO,Privada,N,N,N,Faculdade,null,null,null,Extinta
1971,FACULDADE DE TECNOLOGIA MORUMBI SUL,FATEC-MS,Privada,N,N,N,Faculdade,null,null,null,Extinta
4099,ESCOLA AGROTÉCNICA FEDERAL DE BARBACENA,EAFB,Pública,N,N,N,Faculdade,null,null,null,Extinta
1860,FACULDADE DE CIÊNCIAS GERENCIAIS PADRE ARNALDO JANSSEN,FAJANSSEN,Privada,N,N,N,Faculdade,null,null,null,Extinta
1342,Faculdade Doctum de Pedagogia da Serra,DOCTUM,Privada,N,N,N,Faculdade,null,null,null,Extinta
2073,INSTITUTO SUPERIOR DE EDUCAÇÃO PADRÃO,ISE-PADRAO,Privada,N,N,N,Faculdade,null,null,null,Extinta
5576,Faculdade de Tecnologia de Mogi das Cruzes,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
19342,FACULDADE UNINABUCO MANAUS,NABUCO MANAUS,Privada,N,N,N,Faculdade,null,null,null,Extinta
17708,"FACULDADE ESTADUAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE UNIÃO DA VITÓRIA",FAFI,Pública,N,N,N,Faculdade,null,null,null,Extinta
2243,FACULDADE PARAÍBANA,FAP,Privada,N,N,N,Faculdade,null,null,null,Extinta
10921,FACULDADE DE CIÊNCIAS E TECNOLOGIA DO MARANHÃO,FACEMA,Privada,N,N,N,Faculdade,null,null,null,Extinta
3596,FACULDADE AMÉRICA LATINA,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
2260,FACULDADE DE TECNOLOGIA IESVILLE,FATI,Privada,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
329,ESCOLA SUPERIOR DE AGRONOMIA DE PARAGUAÇÚ PAULISTA,ESAPP,Privada,N,N,N,Faculdade,null,null,null,Extinta
18290,FACULDADE INTEGRADA DE LONDRINA,INTEGRADA,Privada,N,N,N,Faculdade,null,null,null,Extinta
180,FACULDADE DE DIREITO DE CARUARU,FADICA,Privada,N,N,N,Faculdade,null,null,null,Extinta
5693,Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
3392,FACULDADE DA ACADEMIA BRASILEIRA DE EDUCAÇÃO E CULTURA,FABEC,Privada,N,N,N,Faculdade,null,null,null,Extinta
3489,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE CONSELHEIRO LAFAIETE,FACESA,Privada,N,N,N,Faculdade,null,null,null,Extinta
2622,INSTITUTO SUPERIOR DE EDUCAÇÃO DA SERRA,ISES,Privada,N,N,N,Faculdade,null,null,null,Extinta
22169,Faculdade de Ciências Jurídicas de Marília,,Privada,N,N,N,Faculdade,null,null,null,Extinta
3313,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE BAMBUÍ,CEFET-BAMBUÍ,Pública,N,N,N,Centro Federal de Educação Tecnológica,null,null,null,Extinta
2810,INSTITUTO SUPERIOR DE EDUCAÇÃO ANÍSIO TEIXEIRA,ISEAT,Pública,N,N,N,Faculdade,null,null,null,Extinta
5075,ESCOLA AGROTÉCNICA FEDERAL DE CÁCERES,null,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,null,null,null,Extinta
2348,INSTITUIÇÃO DE ENSINO SÃO FRANCISCO,IESF,Privada,N,N,N,Faculdade,null,null,null,Extinta
2844,FACULDADE SALESIANA DOM BOSCO DE PIRACICABA,FSDB,Privada,N,N,N,Faculdade,null,null,null,Extinta
5484,Universidade Regional do Cariri,null,Pública,N,N,N,Universidade,null,null,null,Extinta
5359,Universidade Estadual de Campinas,null,Pública,N,N,N,Universidade,null,null,null,Extinta
2146,FACULDADE DO ACRE,FAC,Privada,N,N,N,Faculdade,null,null,null,Extinta
1868,INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTOS DUMONT,ISESD,Privada,N,N,N,Faculdade,null,null,null,Extinta
5682,Faculdade de Tecnologia de Piracicaba,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
3472,INSTITUTO SUPERIOR DE EDUCAÇÃO DE PASSOS,ISEP,Pública,N,N,N,Faculdade,null,null,null,Extinta
19405,FACULDADES INTEGRADAS CESUMAR DE LONDRINA,CESUMAR,Privada,N,N,N,Faculdade,null,null,null,Extinta
1767,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,,Privada,N,N,N,Faculdade,null,null,null,Extinta
21932,Instituto Una de Jataí,Una,Privada,N,N,N,Faculdade,null,null,null,Extinta
3476,FACULDADE DE FILOSOFIA E LETRAS DE DIAMANTINA,FAFIDIA,Pública,N,N,N,Faculdade,null,null,null,Extinta
811,FACULDADE VALE DO APORÉ,FIC,Privada,N,N,N,Faculdade,null,null,null,Extinta
26990,Escola de Saúde Pública Do Estado de Mato Grosso,ESPMT,Privada,N,N,N,Escola de Governo,null,null,null,Ativa
950,UNIÃO DE ENSINO SUPERIOR DE NOVA MUTUM,UNINOVA,Pública,N,N,N,Faculdade,null,null,null,Extinta
4135,Faculdade Uninorte,FAC Norte,Privada,N,N,N,Faculdade,null,null,null,Extinta
1262,FACULDADE ADVENTISTA DE EDUCAÇÃO DO NORDESTE,FAENE,Privada,N,N,N,Faculdade,null,null,null,Extinta
15501,Faculdade de Tecnologia SENAI Roberto Simonsen,,Privada,N,N,N,Faculdade,null,null,null,Extinta
4178,FACULDADE EVILÁSIO FORMIGA,FEF,Privada,N,N,N,Faculdade,null,null,null,Extinta
11095,Academia Militar das Agulhas Negras,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
5784,Faculdade de Tecnologia Estudante Rafael Almeida Camarinha - Marilia,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
3185,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE SÃO VICENTE DO SUL,CEFETSVS,Pública,N,N,N,Centro Federal de Educação Tecnológica,null,null,null,Extinta
2797,FACULDADE DO LITORAL SUL,FLS,Privada,N,N,N,Faculdade,null,null,null,Extinta
24876,Faculdade de Direito e Negócios,FDN,Privada,N,N,N,Faculdade,null,null,null,Ativa
1103,FACULDADE DE ADMINISTRAÇÃO SÃO PAULO,FAPI,Privada,N,N,N,Faculdade,null,null,null,Extinta
9862,Faculdade de Tecnologia de Bebedouro,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
1814,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DE DIAMANTINO,UNED,Pública,N,N,N,Faculdade,null,null,null,Extinta
558,FACULDADE DE ARTES DO PARANÁ,FAP,Pública,N,N,N,Faculdade,null,null,null,Extinta
